full_sq,life_sq,material,num_room
47,30,1,2
34,34,6,1
42,29,2,2
70,70,1,2
54,32,5,2
33,19,1,1
40,27,2,2
64,60,1,2
17,10,2,1
38,20,1,1
45,45,1,1
58,58,1,2
51,31,1,2
47,47,6,1
56,56,2,1
39,19,1,1
42,25,2,2
68,39,1,2
52,30,1,2
31,19,1,1
41,24,2,2
32,19,1,1
100,62,1,3
38,22,1,2
63,33,1,2
39,18,1,1
53,32,1,2
73,51,2,3
45,28,1,2
41,20,1,1
54,34,2,3
32,18,2,1
32,18,1,1
74,74,1,3
42,20,1,1
42,26,1,2
39,19,1,1
41,17,5,1
30,17,1,1
80,57,6,3
73,34,1,2
38,19,1,1
33,18,2,1
78,50,2,3
64,41,2,2
72,32,1,2
38,16,5,1
38,19,1,1
49,29,1,2
43,29,2,2
68,62,4,2
34,19,1,1
59,43,1,3
29,17,2,1
54,32,1,2
77,46,1,3
38,19,1,1
89,58,2,3
52,29,1,2
85,53,1,3
44,27,1,2
37,18,1,1
43,28,2,2
32,18,1,1
38,19,1,1
37,33,2,1
53,32,1,2
75,43,1,3
37,37,4,1
38,20,1,1
79,47,1,3
50,29,1,2
76,45,1,3
37,19,1,1
73,73,1,2
58,38,1,3
32,18,1,1
81,55,2,3
61,31,1,2
44,30,1,2
79,76,4,3
38,23,1,2
36,19,1,1
59,40,1,3
45,29,2,2
74,51,2,3
51,30,1,2
40,23,2,2
62,46,1,4
46,28,1,2
31,18,2,1
82,50,1,4
63,32,1,2
74,44,1,3
72,43,1,3
26,14,1,1
42,19,1,1
37,19,1,1
52,32,5,2
36,17,1,1
41,26,2,2
44,29,2,2
44,29,1,2
73,43,1,3
75,43,1,3
79,75,1,3
39,15,4,1
41,20,1,1
82,50,1,3
81,39,5,2
41,41,1,1
43,27,2,2
66,44,5,3
56,35,2,2
36,19,2,1
38,38,1,1
35,35,5,1
43,27,2,2
44,30,1,2
58,58,1,2
111,49,6,3
43,31,2,2
45,29,1,2
39,19,2,1
60,36,1,2
36,20,2,1
40,26,2,2
76,45,1,3
38,20,1,1
69,58,6,2
50,34,1,3
86,51,2,3
54,34,2,2
35,20,2,1
42,28,2,2
39,20,1,1
55,32,1,2
77,46,1,3
53,32,1,2
77,49,4,3
1,1,1,1
38,20,1,1
37,36,1,1
79,49,2,3
42,26,2,2
45,44,2,2
38,20,1,1
59,43,1,2
48,31,5,2
39,15,1,1
45,29,2,2
64,34,1,2
64,30,1,2
36,21,1,1
48,31,5,2
55,34,2,2
44,30,5,2
40,40,1,1
42,42,1,1
39,39,1,1
38,18,1,1
31,19,1,1
66,46,5,3
54,32,4,2
44,28,1,2
52,30,1,2
50,35,1,2
54,29,5,2
34,19,5,1
74,45,1,3
62,25,2,2
58,30,1,2
56,34,1,2
45,29,1,2
37,23,2,2
38,17,4,1
49,34,1,3
44,27,1,2
37,19,1,1
40,21,1,1
52,51,1,2
40,25,2,2
76,45,1,3
43,27,2,2
143,78,4,4
76,44,1,3
61,61,1,2
87,58,2,3
36,20,5,1
37,19,1,1
86,50,1,3
36,36,1,1
32,19,1,1
73,42,1,2
37,37,1,1
102,69,4,3
40,38,1,1
67,45,1,3
37,19,1,1
69,69,1,2
44,28,1,2
38,19,1,1
38,20,1,1
60,33,1,2
41,20,6,1
61,34,1,2
65,39,1,3
44,28,1,2
38,17,1,1
35,20,5,1
43,27,2,2
62,62,1,2
46,29,5,2
37,19,1,1
74,42,1,3
19,13,1,1
72,40,1,3
37,19,1,1
50,34,1,3
62,35,2,2
62,34,1,2
28,15,2,1
74,74,1,2
60,36,1,2
44,26,2,2
62,62,1,2
39,18,1,1
53,32,1,2
38,38,1,1
43,27,1,2
39,18,1,1
52,31,1,2
52,29,5,2
45,22,2,1
59,33,1,2
65,61,4,2
56,40,1,2
59,43,5,3
78,47,1,3
54,32,1,2
51,30,1,2
70,70,1,2
32,21,5,1
72,51,2,3
38,23,1,2
42,27,1,2
81,51,1,3
48,43,4,1
77,77,1,3
39,20,1,1
33,19,1,1
41,21,1,1
44,28,1,2
74,50,2,3
43,27,1,2
64,39,1,3
61,61,1,2
51,30,1,2
74,44,1,3
56,34,1,2
80,46,1,3
38,18,1,1
72,49,2,3
60,33,1,2
76,51,2,3
77,47,2,3
45,30,1,2
60,34,1,2
57,31,1,2
37,37,1,1
35,19,5,1
76,47,1,3
63,36,4,2
68,37,2,3
51,11,1,2
74,44,1,3
46,31,5,2
77,35,2,2
44,29,1,2
43,29,2,2
44,29,5,2
35,16,2,1
56,29,1,2
44,31,5,2
39,17,1,1
36,22,5,2
45,30,1,2
59,59,2,2
41,41,1,1
64,43,1,3
75,75,1,3
35,20,1,1
33,14,1,1
37,19,1,1
58,32,1,2
60,34,1,2
59,33,1,2
65,65,6,3
64,46,5,3
54,32,1,2
35,14,1,1
73,43,2,3
30,18,2,1
32,14,5,1
54,32,1,2
49,29,2,2
32,18,1,1
95,51,6,3
67,44,5,3
57,41,2,3
62,39,1,3
51,33,1,2
25,13,2,1
82,48,1,3
43,26,2,2
65,44,1,3
74,46,1,3
38,18,1,1
92,54,2,4
29,17,2,1
64,44,1,3
54,36,5,3
62,38,1,3
42,28,2,2
77,45,1,3
48,31,5,2
37,18,1,2
32,20,1,1
47,30,1,2
53,30,6,2
71,43,1,3
33,19,1,1
89,52,1,3
65,33,1,2
26,10,1,1
30,18,2,1
42,25,1,2
45,30,5,2
61,39,1,3
31,19,1,1
33,20,2,1
43,43,1,1
41,26,1,2
38,19,1,1
38,19,1,1
50,30,1,2
51,30,1,2
74,45,1,3
35,14,1,1
53,32,1,2
76,73,1,3
34,19,1,1
72,43,1,3
32,29,1,2
31,21,5,1
53,32,1,2
47,30,1,2
63,39,1,3
77,46,2,3
53,30,1,2
113,59,4,3
65,43,2,3
50,29,1,2
60,43,1,3
45,29,5,2
48,21,4,1
52,30,1,2
73,69,1,2
42,18,1,1
183,62,2,4
31,18,2,1
76,39,1,3
42,26,1,2
37,19,1,1
41,26,1,2
43,39,1,1
31,18,2,1
31,18,2,1
72,43,1,3
106,66,2,4
55,36,2,3
39,19,1,1
59,35,2,2
51,51,4,2
45,30,1,2
47,32,5,2
41,27,2,2
38,38,1,1
51,32,2,2
62,38,1,3
13,9,2,1
39,39,1,1
44,28,1,2
61,30,1,2
79,51,2,3
75,43,1,3
15,11,2,1
77,46,1,3
38,38,1,1
34,19,1,1
43,43,1,2
44,29,2,2
38,38,1,1
79,52,1,4
38,38,1,1
41,18,1,1
79,47,1,3
38,19,1,1
39,19,1,1
104,60,4,3
41,41,1,1
58,44,1,3
51,30,1,2
34,14,4,1
32,18,1,1
76,54,2,3
50,30,1,2
39,20,1,1
31,16,2,1
89,47,6,3
74,48,2,3
39,39,1,1
61,33,1,2
32,19,2,1
42,28,2,2
61,38,1,3
54,36,1,3
39,19,1,1
35,19,1,1
63,39,1,3
50,23,1,1
51,30,1,2
82,47,1,3
57,37,1,3
32,18,1,1
37,20,4,1
52,50,4,2
41,24,1,2
28,27,2,1
74,45,1,3
32,18,1,1
37,22,5,2
64,30,6,2
43,39,2,1
30,17,2,1
77,45,1,3
51,30,1,2
91,64,2,4
38,38,6,1
58,32,2,2
41,21,1,1
53,30,1,2
48,28,1,2
70,43,2,2
53,30,1,2
39,39,1,1
38,12,2,2
51,30,1,2
44,27,1,2
42,24,1,2
32,20,1,1
76,44,1,3
79,79,1,3
40,40,1,1
52,30,1,2
54,32,1,2
38,38,1,1
53,29,1,2
43,29,2,2
51,30,1,2
40,40,1,1
71,41,4,3
41,20,1,1
43,28,2,2
67,41,4,3
76,45,1,3
57,38,1,3
38,19,1,1
58,34,1,2
74,45,1,3
39,39,1,1
63,46,1,4
45,29,1,2
38,19,1,1
42,28,2,2
56,38,4,1
54,30,1,2
58,42,2,3
35,20,5,1
40,17,2,1
79,79,1,3
37,19,1,1
62,58,1,2
64,38,1,3
36,19,1,1
30,18,2,1
38,19,1,1
43,28,2,2
59,58,1,2
53,30,1,2
44,27,1,2
22,22,2,2
44,28,5,2
64,43,1,3
67,32,4,2
45,28,5,2
62,32,1,2
102,102,1,3
30,15,1,1
30,16,2,1
73,47,2,3
32,32,1,1
71,71,1,3
31,21,5,1
73,73,1,2
60,33,6,2
49,32,2,2
57,35,1,2
38,19,1,1
38,20,1,1
43,42,1,1
54,30,1,2
64,33,1,2
90,38,1,3
41,23,1,2
51,30,1,2
38,20,1,1
124,80,4,4
51,51,1,1
54,29,6,2
52,37,1,3
53,29,1,2
49,37,4,1
43,28,2,2
38,19,1,1
81,81,1,3
64,33,1,2
41,41,6,1
45,31,1,2
63,33,4,2
58,32,1,2
40,26,2,2
38,19,1,1
56,37,1,3
98,53,1,3
80,51,1,3
38,17,4,1
112,112,1,3
58,33,1,2
63,33,1,2
45,19,1,1
63,33,1,2
40,20,1,1
76,50,6,3
43,27,2,2
44,28,1,2
30,18,2,1
46,27,1,2
32,21,5,1
63,33,1,2
84,81,6,3
34,18,1,1
41,22,1,2
51,31,1,2
38,37,1,1
49,30,2,2
82,82,1,3
32,17,2,1
40,17,1,1
38,19,2,1
65,45,1,3
157,81,6,4
39,16,1,1
44,27,2,2
120,62,4,3
56,36,1,2
38,19,1,1
64,40,2,3
42,18,1,1
43,28,1,2
48,48,1,1
52,30,1,2
78,43,1,3
60,40,4,2
103,57,4,3
44,27,1,2
126,103,4,1
30,16,2,1
63,63,6,2
41,25,2,2
74,45,1,3
38,23,5,2
43,27,5,2
70,43,5,3
54,39,2,3
40,26,2,2
170,75,6,3
47,28,1,2
34,20,2,2
64,64,1,2
47,47,4,1
33,19,1,1
43,28,2,2
43,29,2,2
103,64,1,4
42,26,1,2
35,19,5,1
39,39,1,1
39,37,4,1
58,42,1,3
41,20,1,1
39,21,1,1
38,22,5,2
65,43,2,3
43,29,2,2
74,45,4,3
62,43,1,3
42,28,2,2
38,19,1,1
70,40,2,3
54,32,1,2
31,18,5,1
50,29,1,2
76,76,1,2
59,42,1,3
78,40,4,2
55,37,1,3
79,47,2,3
44,28,1,2
35,22,5,1
38,19,1,1
39,20,1,1
63,43,1,4
81,42,1,3
41,20,1,1
